pdb,hairpin
100d,
101d,
102d,
109d,
10mh,
110d,
111d,
112d,
113d,
114d,
115d,
116d,
117d,
118d,
119d,
121d,
122d,
123d,
126d,
127d,
128d,
129d,
130d,
131d,
133d,
137d,
138d,
144d,
145d,
150d,
151d,
152d,
153d,
154d,
157d,
158d,
159d,
160d,
161d,
165d,
166d,
167d,
168d,
172d,
173d,
178d,
180d,
181d,
182d,
183d,
184d,
187d,
188d,
189d,
190d,
191d,
192d,
194d,
195d,
196d,
197d,
198d,
1a02,
1a0a,
1a1f,
1a1g,
1a1h,
1a1i,
1a1j,
1a1k,
1a1l,
1a1v,
1a2e,
1a31,
1a34,
1a35,
1a36,
1a3q,
1a6y,
1a73,
1a74,
1a9n, 1a9n_0_13
1aay,
1agl,
1aio,
1ais,
1akh,
1am9,
1an2,
1an4,
1ana,
1aoi,
1apl,
1aq3, 1aq3_0_4 1aq3_1_4 1aq3_2_4 1aq3_3_4 1aq3_4_4 1aq3_5_4 1aq3_6_4 1aq3_7_4 1aq3_8_4 1aq3_9_4 1aq3_10_4 1aq3_11_4 1aq3_12_4 1aq3_13_4 1aq3_14_4 1aq3_15_4 1aq3_16_4 1aq3_17_4 1aq3_18_4 1aq3_19_4 1aq3_20_4 1aq3_21_4 1aq3_22_4 1aq3_23_4 1aq3_24_4 1aq3_25_4 1aq3_26_4 1aq3_27_4 1aq3_28_4 1aq3_29_4 1aq3_30_4 1aq3_31_4 1aq3_32_4 1aq3_33_4 1aq3_34_4 1aq3_35_4 1aq3_36_4 1aq3_37_4 1aq3_38_4 1aq3_39_4 1aq3_40_4 1aq3_41_4 1aq3_42_4 1aq3_43_4 1aq3_44_4 1aq3_45_4 1aq3_46_4 1aq3_47_4 1aq3_48_4 1aq3_49_4 1aq3_50_4 1aq3_51_4 1aq3_52_4 1aq3_53_4 1aq3_54_4 1aq3_55_4 1aq3_56_4 1aq3_57_4 1aq3_58_4 1aq3_59_4 1aq3_60_4 1aq3_61_4 1aq3_62_4 1aq3_63_4 1aq3_64_4 1aq3_65_4 1aq3_66_4 1aq3_67_4 1aq3_68_4 1aq3_69_4 1aq3_70_4 1aq3_71_4 1aq3_72_4 1aq3_73_4 1aq3_74_4 1aq3_75_4 1aq3_76_4 1aq3_77_4 1aq3_78_4 1aq3_79_4 1aq3_80_4 1aq3_81_4 1aq3_82_4 1aq3_83_4 1aq3_84_4 1aq3_85_4 1aq3_86_4 1aq3_87_4 1aq3_88_4 1aq3_89_4 1aq3_90_4 1aq3_91_4 1aq3_92_4 1aq3_93_4 1aq3_94_4 1aq3_95_4 1aq3_96_4 1aq3_97_4 1aq3_98_4 1aq3_99_4 1aq3_100_4 1aq3_101_4 1aq3_102_4 1aq3_103_4 1aq3_104_4 1aq3_105_4 1aq3_106_4 1aq3_107_4 1aq3_108_4 1aq3_109_4 1aq3_110_4 1aq3_111_4 1aq3_112_4 1aq3_113_4 1aq3_114_4 1aq3_115_4 1aq3_116_4 1aq3_117_4 1aq3_118_4 1aq3_119_4
1aq4, 1aq4_0_4 1aq4_1_4 1aq4_2_4 1aq4_3_4 1aq4_4_4 1aq4_5_4 1aq4_6_4 1aq4_7_4 1aq4_8_4 1aq4_9_4 1aq4_10_4 1aq4_11_4 1aq4_12_4 1aq4_13_4 1aq4_14_4 1aq4_15_4 1aq4_16_4 1aq4_17_4 1aq4_18_4 1aq4_19_4 1aq4_20_4 1aq4_21_4 1aq4_22_4 1aq4_23_4 1aq4_24_4 1aq4_25_4 1aq4_26_4 1aq4_27_4 1aq4_28_4 1aq4_29_4 1aq4_30_4 1aq4_31_4 1aq4_32_4 1aq4_33_4 1aq4_34_4 1aq4_35_4 1aq4_36_4 1aq4_37_4 1aq4_38_4 1aq4_39_4 1aq4_40_4 1aq4_41_4 1aq4_42_4 1aq4_43_4 1aq4_44_4 1aq4_45_4 1aq4_46_4 1aq4_47_4 1aq4_48_4 1aq4_49_4 1aq4_50_4 1aq4_51_4 1aq4_52_4 1aq4_53_4 1aq4_54_4 1aq4_55_4 1aq4_56_4 1aq4_57_4 1aq4_58_4 1aq4_59_4 1aq4_60_4 1aq4_61_4 1aq4_62_4 1aq4_63_4 1aq4_64_4 1aq4_65_4 1aq4_66_4 1aq4_67_4 1aq4_68_4 1aq4_69_4 1aq4_70_4 1aq4_71_4 1aq4_72_4 1aq4_73_4 1aq4_74_4 1aq4_75_4 1aq4_76_4 1aq4_77_4 1aq4_78_4 1aq4_79_4 1aq4_80_4 1aq4_81_4 1aq4_82_4 1aq4_83_4 1aq4_84_4 1aq4_85_4 1aq4_86_4 1aq4_87_4 1aq4_88_4 1aq4_89_4 1aq4_90_4 1aq4_91_4 1aq4_92_4 1aq4_93_4 1aq4_94_4 1aq4_95_4 1aq4_96_4 1aq4_97_4 1aq4_98_4 1aq4_99_4 1aq4_100_4 1aq4_101_4 1aq4_102_4 1aq4_103_4 1aq4_104_4 1aq4_105_4 1aq4_106_4 1aq4_107_4 1aq4_108_4 1aq4_109_4 1aq4_110_4 1aq4_111_4 1aq4_112_4 1aq4_113_4 1aq4_114_4 1aq4_115_4 1aq4_116_4 1aq4_117_4 1aq4_118_4 1aq4_119_4
1asy, 1asy_0_10 1asy_1_7 1asy_2_7 1asy_3_10 1asy_4_7 1asy_5_7
1asz, 1asz_0_10 1asz_1_7 1asz_2_7 1asz_3_10 1asz_4_7 1asz_5_7
1au7,
1av6,
1awc,
1az0,
1azp,
1azq,
1b01,
1b23, 1b23_0_9 1b23_1_9 1b23_2_7
1b2m,
1b3t,
1b72,
1b7f,
1b8i,
1b94,
1b95,
1b96,
1b97,
1bc7,
1bc8,
1bd1,
1bdh,
1bdi,
1bdn,
1bdt,
1bdv,
1bdx,
1bf4,
1bf5,
1bg1,
1bgb,
1bhm,
1bl0,
1bmv,
1bna,
1bnk,
1bnz,
1bp7,
1bpx,
1bpy,
1bpz,
1bqj,
1br3, 1br3_0_6 1br3_1_6
1brn,
1bss,
1bsu,
1bua,
1bvo,
1by4,
1c04, 1c04_0_9 1c04_1_6 1c04_2_4
1c0a, 1c0a_0_9 1c0a_1_7 1c0a_2_7
1c0w,
1c7y,
1c8c,
1c9b,
1c9s,
1c9z,
1ca5,
1ca6,
1cbv,
1cdw,
1cez,
1cf7,
1cgc,
1cgp,
1cit,
1ckq,
1ckt,
1cl8,
1clq,
1cma,
1cn0,
1cqt,
1crx,
1cs7,
1csl,
1cvj,
1cvx,
1cvy,
1cw0,
1cw9,
1cwp,
1cyq,
1cz0,
1d02,
1d0e,
1d10,
1d11,
1d12,
1d13,
1d14,
1d15,
1d16, 1d16_0_4
1d17,
1d1u,
1d21,
1d22,
1d23,
1d24,
1d26,
1d27,
1d28,
1d29,
1d2i,
1d30,
1d31,
1d32,
1d33,
1d35,
1d36,
1d37,
1d38,
1d39,
1d3r,
1d3u,
1d40,
1d41,
1d43,
1d44,
1d45,
1d46,
1d48,
1d49,
1d4r,
1d53,
1d54,
1d56,
1d57,
1d58,
1d59,
1d5y,
1d60,
1d61,
1d62,
1d63,
1d64,
1d65,
1d66,
1d67,
1d75,
1d76,
1d77,
1d78,
1d79,
1d7z,
1d80,
1d81,
1d82,
1d85,
1d86,
1d87,
1d88,
1d89,
1d8g,
1d8x,
1d8y,
1d90,
1d91,
1d92,
1d93,
1d96,
1d97,
1d98,
1d99,
1d9d,
1d9f,
1d9h,
1d9r,
1da0,
1da1,
1da2,
1da3,
1da9,
1dc0,
1dc1,
1dcg,
1dcr,
1dct,
1dcv,
1dcw,
1ddl,
1ddn,
1ddy, 1ddy_0_10 1ddy_1_6
1de8,
1de9,
1dew,
1dfm,
1dfu,
1dgc,
1dh3,
1di2,
1diz,
1dj6,
1dk1, 1dk1_0_4 1dk1_1_4
1dl8,
1dmu,
1dn4,
1dn5,
1dn6,
1dn8,
1dn9,
1dne,
1dnf,
1dnh,
1dnk,
1dnm,
1dno,
1dns,
1dnt,
1dnx,
1dnz,
1dou,
1dp7,
1dpl,
1dpn,
1dqf,
1dqh,
1drg,
1drz, 1drz_0_8 1drz_1_15 1drz_2_10
1dsz,
1du0,
1duh,
1dul, 1dul_0_4
1duq,
1dux,
1dv4,
1dvl,
1e3m,
1e3o,
1e7k,
1e8o, 1e8o_0_6 1e8o_1_17 1e8o_2_8
1e8s,
1ea4,
1ebm,
1ec6, 1ec6_0_12
1ecr,
1edr,
1eel,
1efa,
1efo,
1efw, 1efw_0_9 1efw_1_7 1efw_2_7
1eg6,
1egk, 1egk_0_3 1egk_1_3
1egw,
1ehl,
1ehv,
1ehz, 1ehz_0_8 1ehz_1_9 1ehz_2_7
1ei4,
1eiy, 1eiy_0_8 1eiy_1_7 1eiy_2_7 1eiy_3_8 1eiy_4_7 1eiy_5_7
1ej9,
1em0,
1emh,
1emi,
1emj,
1en3,
1en8,
1en9,
1ene,
1enn,
1eo3,
1eo4,
1eon,
1eoo,
1eop,
1eqq,
1eqz,
1eri,
1esg,
1et4, 1et4_0_10 1et4_1_6
1euq, 1euq_0_9 1euq_1_7 1euq_2_7
1euy, 1euy_0_9 1euy_1_7 1euy_2_7
1evp,
1evv, 1evv_0_8 1evv_1_9 1evv_2_7
1evw,
1ewn,
1ewq,
1exd, 1exd_0_9 1exd_1_7 1exd_2_7
1exi,
1exj,
1eyg,
1eyu,
1f0o,
1f0v,
1f1t, 1f1t_0_4
1f27, 1f27_0_8
1f2i,
1f44,
1f4k,
1f4r,
1f5t,
1f66,
1f69,
1f6c,
1f6e,
1f6i,
1f6j,
1f6o,
1f7u, 1f7u_0_10 1f7u_1_7 1f7u_2_7
1f7v, 1f7v_0_10 1f7v_1_7 1f7v_2_7
1f7y, 1f7y_0_4 1f7y_1_4
1f8v,
1fd5,
1fdg,
1feu,
1ffk, 1ffk_0_8 1ffk_1_21 1ffk_2_7 1ffk_3_3 1ffk_4_5 1ffk_5_6 1ffk_6_5 1ffk_7_5 1ffk_8_4 1ffk_9_6 1ffk_10_14 1ffk_11_7 1ffk_12_8 1ffk_13_7 1ffk_14_4 1ffk_15_5 1ffk_16_4 1ffk_17_8 1ffk_18_5 1ffk_19_4 1ffk_20_4 1ffk_21_4 1ffk_22_8 1ffk_23_5 1ffk_24_4 1ffk_25_5 1ffk_26_6 1ffk_27_7 1ffk_28_4 1ffk_29_7 1ffk_30_5 1ffk_31_5 1ffk_32_8 1ffk_33_5 1ffk_34_4 1ffk_35_3 1ffk_36_6 1ffk_37_7 1ffk_38_4 1ffk_39_5 1ffk_40_3 1ffk_41_9 1ffk_42_4 1ffk_43_6 1ffk_44_7 1ffk_45_13 1ffk_46_8 1ffk_47_4 1ffk_48_7 1ffk_49_20 1ffk_50_11 1ffk_51_6 1ffk_52_9 1ffk_53_4 1ffk_54_7 1ffk_55_7 1ffk_56_6 1ffk_57_5 1ffk_58_4 1ffk_59_4 1ffk_60_4 1ffk_61_13 1ffk_62_7 1ffk_63_4 1ffk_64_5 1ffk_65_4
1ffy, 1ffy_0_9 1ffy_1_7 1ffy_2_7
1ffz, 1ffz_0_8 1ffz_1_4 1ffz_2_7 1ffz_3_20 1ffz_4_11 1ffz_5_6 1ffz_6_9 1ffz_7_4 1ffz_8_7 1ffz_9_7 1ffz_10_6 1ffz_11_5 1ffz_12_4
1fg0, 1fg0_0_8 1fg0_1_4 1fg0_2_7 1fg0_3_20 1fg0_4_11 1fg0_5_6 1fg0_6_9 1fg0_7_4 1fg0_8_7 1fg0_9_7 1fg0_10_6 1fg0_11_5 1fg0_12_4
1fhy,
1fhz,
1fir, 1fir_0_8 1fir_1_7
1fiu,
1fix,
1fjg, 1fjg_0_9 1fjg_1_5 1fjg_2_4 1fjg_3_4 1fjg_4_3 1fjg_5_7 1fjg_6_4 1fjg_7_12 1fjg_8_4 1fjg_9_4 1fjg_10_4 1fjg_11_5 1fjg_12_16 1fjg_13_4 1fjg_14_5 1fjg_15_8 1fjg_16_4 1fjg_17_9 1fjg_18_3 1fjg_19_4 1fjg_20_4 1fjg_21_8 1fjg_22_4 1fjg_23_10 1fjg_24_4 1fjg_25_6 1fjg_26_5 1fjg_27_4 1fjg_28_4 1fjg_29_8 1fjg_30_10 1fjg_31_4 1fjg_32_4
1fjl,
1fjx,
1fka, 1fka_0_4 1fka_1_4 1fka_2_3 1fka_3_4 1fka_4_4 1fka_5_6 1fka_6_5 1fka_7_6 1fka_8_4 1fka_9_5 1fka_10_4 1fka_11_4 1fka_12_4
1flo,
1fmq,
1fms,
1fn1,
1fn2,
1fn7,
1fok,
1fos,
1fq2,
1ftd,
1fuf,
1fw6,
1fxl,
1fyk,
1fyl,
1fym,
1fzp,
1g00,
1g1x, 1g1x_0_4 1g1x_1_4
1g2d,
1g2e,
1g2f,
1g2j,
1g38,
1g3v,
1g3x,
1g4q,
1g59, 1g59_0_8 1g59_1_7 1g59_2_7
1g6d,
1g75,
1g8n,
1g8u,
1g8v,
1g9y,
1g9z,
1ga5,
1gax, 1gax_0_7 1gax_1_7 1gax_2_7
1gd2,
1gdt,
1gid, 1gid_0_4 1gid_1_7 1gid_2_3
1gji,
1glu,
1gm5,
1gqu,
1grz, 1grz_0_4 1grz_1_7 1grz_2_4 1grz_3_5 1grz_4_4
1gsg,
1gt0,
1gtf,
1gtn,
1gtr, 1gtr_0_9 1gtr_1_7 1gtr_2_7
1gts, 1gts_0_9 1gts_1_7 1gts_2_7
1gtw,
1gu4,
1gu5,
1gxp,
1h0m,
1h1k,
1h2c,
1h2d,
1h38,
1h3e, 1h3e_0_7 1h3e_1_7 1h3e_2_7 1h3e_3_7
1h4q, 1h4q_0_9 1h4q_1_5 1h4q_2_7
1h4s, 1h4s_0_9 1h4s_1_5 1h4s_2_7
1h6f,
1h88,
1h89,
1h8a,
1h9d,
1h9t,
1hao,
1hap,
1hbx,
1hc8, 1hc8_0_9 1hc8_1_6
1hcq,
1hcr,
1hdd,
1hf0,
1hht,
1hi0,
1hjb,
1hjc,
1hlo,
1hlv,
1hlz,
1hmh, 1hmh_0_4
1hnw, 1hnw_0_9 1hnw_1_5 1hnw_2_4 1hnw_3_4 1hnw_4_3 1hnw_5_7 1hnw_6_4 1hnw_7_12 1hnw_8_4 1hnw_9_4 1hnw_10_4 1hnw_11_5 1hnw_12_16 1hnw_13_4 1hnw_14_5 1hnw_15_8 1hnw_16_4 1hnw_17_9 1hnw_18_3 1hnw_19_4 1hnw_20_4 1hnw_21_8 1hnw_22_4 1hnw_23_4 1hnw_24_4 1hnw_25_6 1hnw_26_5 1hnw_27_4 1hnw_28_4 1hnw_29_8 1hnw_30_10 1hnw_31_4 1hnw_32_4
